source,target,value
registrationshine,experiencepage,13171
registrationshine,skillpage,11717
registrationshine,registrationskippopup,2434
experiencepage,skillpage,16982
experiencepage,registrationskippopup,5930
experiencepage,profilecompletionregflow,770
skillpage,registrationskippopup,12530
skillpage,educationpage,22270
skillpage,profilecompletionregflow,9844
registrationskippopup,skillpage,10899
registrationskippopup,experiencepage,6501
registrationskippopup,educationpage,4550
profilecompletionregflow,educationpage,7557
profilecompletionregflow,registrationfull,4725
profilecompletionregflow,skillpage,2512
educationpage,registrationskippopup,8638
educationpage,profilecompletionregflow,7644
educationpage,registrationconversion,4193
